file_id,Question,Generated
mfe8OzzArGc_chunk29_data1_task3,What cause of depression does this show?,The audio does not provide enough information to determine the specific cause of the person's depression.
jm6PG989Q_0_chunk78_data1_task1,Does the patient suffer from loneliness?,"Yes, the patient feels helpless and alone as their partner left them."
jkKm5Cym-ZY_chunk4_data2_task4,Does the emotional wellness dimension exist here?,"Based on the provided transcription, it is not possible to determine if the speaker's emotional state is within a healthy range. The speaker may be experiencing feelings of sadness or disconnection as indicated by the use of the word 'sad' and the phrase 'I just feel like I shouldn't talk to someone.' However, without additional context or information about the speaker's tone, body language, and other nonverbal cues, it is difficult to make a more accurate assessment of their emotional well-being."
jlXmVqhaMds_chunk5_data2_task4,Does the emotional wellness dimension exist here?,"Yes, the speaker is expressing a negative emotion which can be considered an aspect of emotional wellness."
-GaYArbWL1Q_chunk11_data1_task3,What is the stress cause here?,"The stressor seems to be related to a situation where the therapist was not very engaged with the client, as described by the phrase 'the therapist was sort of laid back a bit and kind of you know behind their tablet of paper and not engaged with the client.'"
E9mZ3915tdU_chunk14_data1_task3,What cause of depression does this show?,"The speaker mentions that the person is experiencing depression because they and their partner want to move forward, but the partner is not on the same page."
1jfH055byg4_chunk18_data1_task1,Does the patient suffer from loneliness?,"Yes, the patient feels like everyone else, including their case worker and building manager, which indicates a sense of loneliness or isolation."
Xj3q96mCfC8_chunk50_data1_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of anxiety.
Xj3q96mCfC8_chunk24_data1_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of schizophrenia.
Ch9YNaCgBU4_chunk29_data3_task1,Does the patient suffer from loneliness?,The patient does not have many friends and feels a little lonely sometimes.
8N1PzEFw0oE_chunk21_data2_task1,Does the patient suffer from stress?,"Yes, the patient identifies a significant stressor in their life."
z60HLGvT7DQ_chunk5_data2_task2,What mental disorder symptoms does the patient show?,The patient is experiencing sleep disturbance.
bxbSsK5D_PY_chunk25_data2_task4,Does the social wellness dimension exist here?,"No, the social wellness dimension does not seem to be present as there is no mention of interpersonal relationships or interactions with others."
RybY4zIecQ4_chunk3_data2_task2,What mental disorder symptoms does the patient show?,"The patient is experiencing delusions, specifically feeling like they are back at an event and that it feels real."
HIgQKH3Y1VE_chunk9_data7_task3,What is the stress cause here?,The speaker is asking about their own irritability.
P624_q04ZWg_chunk13_data1_task3,What is the stress cause here?,The stress cause here is stopping using marijuana.
ankWMLepQsE_chunk37_data1_task3,What cause of depression does this show?,"The speaker mentioned that the person they are speaking about has a problem and this is not the first time they have done this, which suggests that the ongoing issue could be causing the depression."
0XEKrRJeB5I_chunk16_data2_task3,What cause of depression does this show?,The audio does not specifically mention the cause of depression. It only suggests that someone feels they have found an end to their pain.
wSrpYVszdms_chunk8_data1_task1,Does the patient suffer from loneliness?,The speech does not provide enough information to determine whether the patient suffers from loneliness.
P3JUXQ4kkHs_chunk7_data1_task3,What cause of depression does this show?,"The audio does not specifically mention depression, but the speaker discusses personal experiences and challenges related to pregnancy, birth, and life changes, which can contribute to feelings of depression."
jkKm5Cym-ZY_chunk3_data3_task4,Does the physical wellness dimension exist here?,"Yes, the statement suggests that the speaker is tired during the day despite trying to sleep, which could indicate a lack of physical well-being."
nFwAiO22g4Y_chunk28_data1_task1,Does the patient suffer from depression?,"Based on the speech, it is possible that the patient may be experiencing suicidal thoughts or tendencies, but this cannot be definitively determined without further information or professional evaluation."
X4OEhMWbSss_chunk18_data1_task2,What mental disorder symptoms does the patient show?,The patient shows signs of paranoia.
PtCj7ecyHjg_chunk17_data1_task2,What mental disorder symptoms does this patient show?,"The patient exhibits symptoms of depression, as indicated by their speech pattern and mood."
ZB28gfSmz1Y_chunk22_data1_task3,What is the stress cause here?,The audio does not specify a cause for the stress.
Gt1dCRfv_Lc_chunk9_data2_task3,What cause of depression does this show?,The audio does not provide enough information to determine the specific cause of the speaker's depression.
Yv9QS8KJnDE_chunk6_data2_task3,What cause of depression does this show?,"The speech does not specifically state the cause of the speaker's depression, only that they were under the influence of cocaine."
eqIM3n7ujVA_chunk1_data1_task1,Does the patient suffer from depression?,The audio does not provide enough information to determine if the patient suffers from depression.
iRqY5UddPNo_chunk22_data1_task2,What mental disorder symptoms does the patient show?,The patient shows signs of alcoholism.
824H2W-h5Kg_chunk17_data1_task3,What cause of depression does this show?,The individual could not cope with the fact that they were cutting themselves.
xaHms5z-yuM_chunk8_data1_task4,Does the emotional wellness dimension exist here?,The information provided does not indicate the presence of an emotional wellness dimension. The statement describes a physical action and a feeling related to that action.
w5tsDZtXBlE_chunk8_data1_task3,What is the stress cause here?,The speaker feels that it is unfair.
VGdWk7YRS1c_chunk47_data1_task1,Does the patient suffer from loneliness?,The audio does not provide explicit information regarding whether the patient suffers from loneliness.
L4oDAYZWLhs_chunk14_data1_task3,What cause of depression does this show?,"The audio does not specifically mention depression, but it discusses the negative effects of alcohol on one's recovery plan."
QmFwph3ql3w_chunk2_data1_task4,Does the physical wellness dimension exist here?,"No, there is no direct reference to physical wellness in the speech."
64T_BwKcc2M_chunk2_data3_task4,Does the emotional wellness dimension exist here?,"The statement 'So no attempts, have you ever had thoughts of suicide?' does not convey any information about an individual's emotional wellness. It is a question that may be relevant to a discussion about mental health or suicide prevention, but it does not provide any context or clues about someone's emotional state. Therefore, we cannot determine whether this statement relates to emotional wellness or not."
bxbSsK5D_PY_chunk9_data2_task1,Does the patient suffer from loneliness?,The audio does not provide explicit information regarding the patient's feelings of loneliness.
zyIN61kQ6VY_chunk4_data1_task3,What is the stress cause here?,The stress cause here is the feeling of being overwhelmed or pressured by work or other responsibilities.
P3JUXQ4kkHs_chunk5_data2_task1,Does the patient suffer from stress?,"Yes, the patient is described as feeling overwhelmed and unsure about where to start, which are common symptoms of stress."
k_78UKFERGE_chunk31_data1_task2,What mental disorder symptoms does the patient show?,The patient shows anxiety and panic attacks.
TMVRjab1TmE_chunk5_data2_task3,What is the stress cause here?,The speech does not explicitly mention what the stress cause is.
7_gmIvbjt3w_chunk20_data1_task4,Does the emotional wellness dimension exist here?,The information provided does not indicate whether any of the relatives are aware of the individual's anxiety or drinking habits.
0XEKrRJeB5I_chunk3_data3_task3,What cause of depression does this show?,The audio does not provide information about the specific cause of the person's depression.
U6VzVpsqG40_chunk12_data1_task1,Does the patient suffer from stress?,"Yes, the patient may be experiencing a feeling of uncertainty or anxiety, which can be common stress-related symptoms."
P2a9102jifM_chunk40_data1_task1,Does the patient suffer from depression?,"The patient may be experiencing feelings of worthlessness, which can be a symptom of depression. However, it is important to note that this statement only indicates the presence of certain symptoms and does not necessarily mean that the patient has depression. A proper diagnosis can only be made by a medical professional after a thorough evaluation."
kuhImFdGW_w_chunk23_data1_task3,What cause of depression does this show?,"The audio does not specifically mention depression, but the speaker could be expressing gratitude for a supportive teacher, which is often associated with positive mental health outcomes."
la5VCuaPi2w_chunk10_data2_task2,What mental disorder symptoms does this patient show?,The patient is displaying symptoms of depression.
U6VzVpsqG40_chunk10_data1_task3,What is the stress cause here?,The speaker is experiencing doubt and questioning their actions and decisions.
jlXmVqhaMds_chunk48_data2_task3,What is the stress cause here?,The speaker does not specify the cause of the stress.
E9mZ3915tdU_chunk5_data1_task3,What is the stress cause here?,The speaker is experiencing stress because it's their first time doing something and they are a bit nervous about it.
TcewFGydzPM_chunk9_data2_task4,Does the emotional wellness dimension exist here?,"Yes, the emotion is described as neutral which falls under the emotional wellness category."
mfe8OzzArGc_chunk29_data1_task4,Does the emotional wellness dimension exist here?,"The statement 'you're not sure you feel like you're at risk to do it' does not convey any specific emotional state or well-being. It is a question about one's feelings and perceptions regarding a potential action or situation. Therefore, no emotional wellness dimension can be identified from this statement alone."
dJ1eDL15_Lw_chunk11_data2_task3,What is the stress cause here?,The speaker is worried about not being able to return home.
osROod3Hmpg_chunk30_data2_task3,What is the stress cause here?,The speaker is trying to figure out if the worry and anxiety have paid off.
iRqY5UddPNo_chunk8_data1_task2,What mental disorder symptoms does the patient show?,The patient shows signs of depression.
eqIM3n7ujVA_chunk3_data3_task1,Does the patient suffer from depression?,"The patient has expressed thoughts about suicide, which is a symptom of depression."
TMVRjab1TmE_chunk15_data2_task3,What is the stress cause here?,"The stressor in this scenario seems to be related to work, as indicated by the reference to a job or workplace. The person feels overwhelmed and unable to cope with the workload, which is causing them significant anxiety."
Dfo1wiPkUK0_chunk7_data2_task3,What is the stress cause here?,"The speaker is talking about a long-term perspective, implying that despite the current difficulties, they believe it will eventually work out."
ZSDJymlMOxg_chunk10_data1_task3,What is the stress cause here?,The speaker is scared because they are worried about going somewhere without stoplights.
vdMnsJJvqR4_chunk5_data2_task4,Does the physical wellness dimension exist here?,"The speech does not explicitly mention physical wellness, but it discusses food choices and their impact on one's health, which can contribute to overall physical wellness."
fK70IxJ4nP0_chunk4_data2_task2,What mental disorder symptoms does the patient show?,The patient shows signs of alcohol abuse and binge drinking.
pvTGgLtVDNU_chunk2_data3_task3,What is the stress cause here?,The speaker seems to be under a lot of stress from work.
jS1KE3_Pqlc_chunk6_data2_task4,Does the patient show risk of perceived burdensomeness?,"Yes, the patient exhibits a sense of perceived burdensomeness as they question whether someone else could do their job better and express doubt about their own capabilities."
0XEKrRJeB5I_chunk25_data2_task2,What mental disorder symptoms does the patient show?,The patient is exhibiting symptoms of depression.
YuFmc3y72Nw_chunk26_data2_task1,Does the patient suffer from loneliness?,The patient may feel lonely as implied by the question about receiving a message implying desperation for companionship.
bxbSsK5D_PY_chunk31_data1_task3,What cause of depression does this show?,"The speech suggests that Sam's low score on the A-Scor test could be due to experiencing loss of a parent, physical neglect, and emotional deprivation."
nFwAiO22g4Y_chunk58_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows symptoms of depression, as indicated by their difficulty in getting out of bed and feeling sad."
P3JUXQ4kkHs_chunk3_data1_task3,What cause of depression does this show?,The audio does not specifically mention the cause of depression.
o2Cv6Mlp3KY_chunk10_data1_task2,What mental disorder symptoms does the patient show?,The patient shows panic attacks and agoraphobia.
-fLArKnlQkw_chunk12_data1_task3,What cause of depression does this show?,The audio does not provide enough information to determine a specific cause of the speaker's depression.
yNqaUMiU0Dk_chunk14_data1_task3,What cause of depression does this show?,"The audio does not explicitly mention depression, so it cannot be determined what causes it based on the provided information."
oT2iPNcPejA_chunk26_data1_task3,What is the stress cause here?,The speaker feels like they don't have a lot of time to sit and be present.
ihDezGfSvQs_chunk19_data2_task4,Does the emotional wellness dimension exist here?,No QA Pairs
8K4HW6_MvoU_chunk3_data2_task1,Does the patient suffer from stress?,"Yes, the patient is described as worrying excessively and being preoccupied with preparing, which are symptoms of stress."
W_tDRu67JnI_chunk10_data1_task2,What mental disorder symptoms does the patient show?,The patient shows signs of anger and irritability.
PtCj7ecyHjg_chunk18_data1_task1,Does the patient suffer from stress?,"Yes, the patient mentions that they have been under a lot of stress lately."
824H2W-h5Kg_chunk3_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows signs of disbelief, as indicated by the phrase 'I can't believe he's just gone.'"
HIgQKH3Y1VE_chunk2_data1_task3,What is the stress cause here?,"The speaker is experiencing anxiety and worry because they have recently started back to school after a long break, and are also responsible for taking care of their husband's children while he works."
_TwVa4utpII_chunk20_data1_task3,What cause of depression does this show?,"The audio does not specifically mention depression, but it does discuss the speaker's experience with alcohol and the decisions made to limit its dangerous aspects."
czzQ7fIQE84_chunk3_data1_task2,What mental disorder symptoms does this patient show?,The patient shows symptoms of anxiety.
nFwAiO22g4Y_chunk3_data1_task3,What cause of depression does this show?,"The audio indicates that someone is experiencing depression, but it does not provide information about the specific cause."
9cYeZdKeXsc_chunk2_data1_task3,What cause of depression does this show?,"The audio indicates that the speaker is asking about the listener's emotional state, but it does not specifically state the cause of depression."
X9NBaihCzhk_chunk12_data1_task3,What is the stress cause here?,The stress cause here is peer pressure.
tlQHg2Rbm60_chunk4_data1_task1,Does the patient suffer from stress?,"Yes, the patient feels overwhelmed and consumed by their job to the point where they cannot focus on anything else."
P3JUXQ4kkHs_chunk21_data2_task3,What is the stress cause here?,The stressor is the situation of taking care of a child and the challenges that come with it.
Ad1E-Wi-DzM_chunk9_data1_task3,What is the stress cause here?,The speaker is referring to a car accident.
TMVRjab1TmE_chunk13_data1_task1,Does the patient suffer from stress?,"Yes, the patient seems to be experiencing stress as indicated by the expression 'it's harder to breathe.'"
Q9astgtdDW4_chunk17_data1_task3,What is the stress cause here?,The speech does not provide enough context to determine a specific stress cause.
OPCYGqzf7Us_chunk6_data2_task1,Does the patient suffer from stress?,"Yes, the patient mentions that they get angry sometimes and this can be a sign of stress."
0Tt1IDjmito_chunk3_data3_task2,What mental disorder symptoms does the patient show?,The patient shows delusions of control.
f6Y_P8Jv2cU_chunk11_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows signs of depression, as indicated by their somber mood and lack of interest in activities they used to enjoy."
_pkXuC7vsl0_chunk11_data1_task3,What is the stress cause here?,The test may be causing anxiety because it is described as very difficult.
z60HLGvT7DQ_chunk4_data3_task3,What cause of depression does this show?,The audio does not specifically mention a cause of depression.
88qr91P1lsA_chunk15_data1_task3,What is the stress cause here?,The speaker does not specify the cause of the stress.
YJflzedS_DU_chunk4_data1_task3,What is the stress cause here?,The speaker is experiencing frustration and confusion about being unable to do something right.
qe-0fk4ZG20_chunk22_data1_task3,What cause of depression does this show?,The audio does not provide enough information to determine the specific cause of the person's depression.
8aDFvvjC6XM_chunk26_data2_task3,What cause of depression does this show?,The audio does not specifically mention the cause of depression.
FduIvOiyga0_chunk1_data1_task4,Does the intellectual wellness dimension exist here?,"No, the concept of 'intellectual wellness' is not mentioned in the audio."
km_ZGAVsr20_chunk11_data1_task2,What mental disorder symptoms does the patient show?,The patient shows signs of alcohol use disorder.
tBd5VGCKnjA_chunk36_data1_task3,What is the stress cause here?,"The speaker does not specify the exact cause of stress, but implies it involves a situation where someone has to do something they might find difficult or unpleasant."
Ii2FHbtVJzc_chunk11_data2_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of post-traumatic stress disorder (PTSD).
eIDhKWAsWuY_chunk14_data1_task4,Does the emotional wellness dimension exist here?,"No, the sentence 'I'm a failure' does not convey an emotional state; it's a statement about oneself without any accompanying emotions."
Qwbm0s5970M_chunk10_data2_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of schizophrenia.
ZAOwjnqVUnM_chunk6_data1_task1,Does the patient suffer from stress?,"Yes, the patient experiences anxiety when it's time to speak and their mind goes blank."
dREjjXvFybk_chunk15_data1_task3,What cause of depression does this show?,"The statement suggests that the speaker feels responsible for everything, even things that are not their fault, which can contribute to feelings of guilt and low self-esteem. This can be a common cause of depression."
Zldp0jcw6j4_chunk12_data1_task3,What cause of depression does this show?,The audio does not specifically mention the cause of depression.
88qr91P1lsA_chunk47_data2_task4,Does the emotional wellness dimension exist here?,"Yes, the speaker is asking about how someone has coped with difficulties in their life, which relates to emotional wellness."
q4x4KHDiJAs_chunk13_data2_task3,What cause of depression does this show?,"The statement suggests that depression can be caused by a physical health disorder, but it does not provide information on what specific disorders may cause depression. It is important to note that depression can have multiple causes, including biological, psychological, and social factors."
92jbfcpiA9Y_chunk10_data2_task3,What is the stress cause here?,The speaker does not specify the exact cause of their stress.
zdha69z2VaA_chunk1_data2_task1,Does the patient suffer from depression?,"Based on the speech, it cannot be determined if the patient suffers from depression."
